"","Participant","Grp","1","2","3"
"1","TA106","ASI",0.32034632034632,0.463595839524517,0.846965699208443
"2","TA107","ASI",0.405684754521964,0.451559934318555,0.593952483801296
"3","TA108","ASI",0.30060120240481,0.45,0.460358056265985
"4","TA109","ASI",0.348837209302326,0.41944847605225,0.535645472061657
"5","TA110","ASI",0.411552346570397,0.439429928741093,0.572368421052632
"6","TA111","HSS",NA,0.270916334661355,0.92485549132948
"7","TA112","HSS",0.363143631436314,0.234608985024958,0.616871704745167
"8","TA113","HSS",0.284116331096197,0.492774566473988,0.793168880455408
"9","TA114","ASI",0.281837160751566,0.486131386861314,0.881944444444444
"10","TA116","HSS",0.387640449438202,0.510162601626016,0.747368421052632
"11","TA120","HSS",0.161016949152542,0.298013245033113,0.736559139784946
"12","TA124","HSS",0.636619718309859,0.301765650080257,0.52621359223301
"13","TA126","HSS",0.432624113475177,0.369811320754717,0.602713178294574
"14","TA128","ASI",0.298029556650246,0.262608695652174,0.514462809917355
"15","TA129","HSS",0.396648044692737,0.325490196078431,0.550976138828633
"16","TA130","HSS",0.425790754257908,0.464985994397759,0.609195402298851
"17","TA131","HSS",0.179389312977099,0.366847826086957,0.666666666666667
"18","TA132","ASI",0.25,0.33810888252149,0.698591549295775
"19","TA133","HSS",0.372505543237251,0.360330578512397,0.575551782682513
"20","TA134","HSS",0.494845360824742,0.378854625550661,0.417582417582418
"21","TA135","HSS",0.237388724035608,0.533444816053512,0.527272727272727
"22","TA136","ASI",0.303921568627451,0.432432432432432,0.793499043977055
"23","TA137","ASI",0.262337662337662,0.352331606217617,0.646
"24","TA138","HSS",0.358778625954198,0.456998313659359,0.797595190380762
"25","TA139","ASI",0.280373831775701,0.413934426229508,0.535791757049892
"26","TA140","HSS",0.494915254237288,0.420265780730897,0.63600782778865
"27","TA141","HSS",0.225092250922509,0.167820069204152,0.675
"28","TA142","ASI",0.53740157480315,0.259259259259259,0.547663551401869
"29","TA143","HSS",0.202346041055718,0.380546075085324,0.775933609958506
"30","TA144","ASI",0.276744186046512,0.389770723104056,0.750499001996008
"31","TA146","ASI",0.46943231441048,0.299852289512555,0.777163904235727
