"","Participant","Grp","W1_alt","W2_alt","W3_alt","W1_non-alt","W2_non-alt","W3_non-alt"
"1","TA106","ASI",0.242424242424242,0.445512820512821,0.814345991561181,0.424242424242424,0.479224376731302,0.901408450704225
"2","TA107","ASI",0.416243654822335,0.263940520446097,0.666666666666667,0.394736842105263,0.6,0.517699115044248
"3","TA108","ASI",0.465116279069767,0.435606060606061,0.233502538071066,0.12448132780083,0.462837837837838,0.690721649484536
"4","TA109","ASI",0.253521126760563,0.534375,0.509225092250922,0.442396313364055,0.319783197831978,0.564516129032258
"5","TA110","ASI",0.544871794871795,0.543352601156069,0.37037037037037,0.239669421487603,0.366935483870968,0.802816901408451
"6","TA111","HSS",NA,0.305084745762712,0.551724137931034,NA,0.260416666666667,1
"7","TA112","HSS",0.369318181818182,0.289230769230769,0.660777385159011,0.357512953367876,0.170289855072464,0.573426573426573
"8","TA113","HSS",0.276995305164319,0.375776397515528,0.725165562913907,0.290598290598291,0.594594594594595,0.884444444444444
"9","TA114","ASI",0.404166666666667,0.665625,0.913793103448276,0.158995815899582,0.328767123287671,0.86046511627907
"10","TA116","HSS",0.418848167539267,0.44,0.700757575757576,0.351515151515152,0.569288389513109,0.805687203791469
"11","TA120","HSS",NA,0.223107569721116,0.533707865168539,0.292307692307692,0.391089108910891,0.922680412371134
"12","TA124","HSS",0.458563535911602,0.457236842105263,0.471264367816092,0.82183908045977,0.153605015673981,0.582677165354331
"13","TA126","HSS",0.4,0.135802469135802,0.452,0.482142857142857,0.56794425087108,0.744360902255639
"14","TA128","ASI",0.382352941176471,0.223367697594502,0.457142857142857,0.212871287128713,0.302816901408451,0.573221757322176
"15","TA129","HSS",0.291666666666667,0.290178571428571,0.508130081300813,0.610169491525424,0.353146853146853,0.6
"16","TA130","HSS",0.463414634146341,0.467065868263473,0.424749163879599,0.388349514563107,0.463157894736842,0.787096774193548
"17","TA131","HSS",0.228260869565217,0.349854227405248,0.551948051948052,0.125,0.381679389312977,0.798507462686567
"18","TA132","ASI",0.344827586206897,0.489208633093525,0.635359116022099,NA,0.238095238095238,0.764367816091954
"19","TA133","HSS",0.314741035856574,0.288524590163934,0.527972027972028,0.445,0.433333333333333,0.62046204620462
"20","TA134","HSS",0.344827586206897,0.23469387755102,0.376271186440678,0.616822429906542,0.488372093023256,0.466135458167331
"21","TA135","HSS",0.278350515463918,0.638225255972696,0.493333333333333,0.181818181818182,0.432786885245902,0.555555555555556
"22","TA136","ASI",0.472727272727273,0.459649122807018,0.802973977695167,0.106382978723404,0.403703703703704,0.783464566929134
"23","TA137","ASI",0.189189189189189,0.255813953488372,0.634854771784232,0.33,0.429906542056075,0.656370656370656
"24","TA138","HSS",0.50261780104712,0.783393501805054,0.737254901960784,0.222772277227723,0.170886075949367,0.860655737704918
"25","TA139","ASI",0.155038759689922,0.530434782608696,0.518018018018018,0.364583333333333,0.310077519379845,0.552301255230126
"26","TA140","HSS",0.468571428571429,0.477564102564103,0.439688715953307,0.533333333333333,0.358620689655172,0.834645669291339
"27","TA141","HSS",0.0423728813559322,0.0234375,0.539370078740158,0.366013071895425,0.282608695652174,0.804511278195489
"28","TA142","ASI",0.591603053435115,0.301639344262295,0.555984555984556,0.479674796747967,0.224324324324324,0.539855072463768
"29","TA143","HSS",0.173076923076923,0.325423728813559,0.805555555555556,0.227027027027027,0.436426116838488,0.731958762886598
"30","TA144","ASI",0.121951219512195,0.301694915254237,0.795918367346939,0.417777777777778,0.485294117647059,0.70703125
"31","TA146","ASI",0.465217391304348,0.196875,0.717241379310345,0.473684210526316,0.392156862745098,0.845849802371542
